想像	Sự tưởng tượng
美人	Mỹ nhân, người đẹp
手順	Thứ tự, trình tự
腹をたてる	Tức giận, bực mình
傾向	Khuynh hướng
設計	Sự thiết kế
大掃除	Tổng vệ sinh, dọn dẹp
差し上げる	Giơ cao, biếu tặng
畑	Nương rẫy, vườn
成績	Thành tích
活躍	Sự tích cực, nhanh nhẹn
カットする	Cắt tỉa
乗り切る	Đi qua, trải qua
普及	Sự phổ cập, phổ biến
発言	Phát ngôn
傷つける	Đau, làm tổn thương
不況	Khủng hoảng, trì trệ, xuống dốc
悪化	Xấu đi, tồi tệ hơn
建築家	Kiến trúc sư
反撃	Việc phản công
計算	SỰ tính toán, kế toán
開放	Giải phóng, mở ra cho
地域	Vùng miền, khu vực
健康診断	Sự chẩn đoán sức khỏe, sự khám sức khỏe
可愛い	Dễ thương, đáng yêu
名産	Sản phẩm nổi tiếng
印象	Ấn tượng
概して	Như thường lệ, nhìn chung
基礎的	Cơ bản, căn bản
癌	Bệnh ung thư
操作	Thao tác, điều khiển
転職	Chuyển công tác, thay đổi công việc
寄せる	Đến gần, dựa vào
展示会	CUộc triển lãm, cuộc trưng bài
演奏	Biểu diễn, trình tấu
異なる	Khác nhau, không giống nhau
