Sự tưởng tượng	想像	Souzou
Mỹ nhân, người đẹp	美人	bijin
Thứ tự, trình tự	手順	tejun
Tức giận, bực mình	腹をたてる	hara wo tateru
Khuynh hướng	傾向	keikou
Sự thiết kế	設計	sekkei
Tổng vệ sinh, dọn dẹp	大掃除	Ooisoji
Giơ cao, biếu tặng	差し上げる	Sashigageru
Nương rẫy, vườn	畑	Hatake
Thành tích	成績	Seiseki
Sự tích cực, nhanh nhẹn	活躍	katsuyaku
Cắt tỉa	カットする	Catto suru
Đi qua, trải qua	乗り切る	Norikiru
Sự phổ cập, phổ biến	普及	Fukyuu
Phát ngôn	発言	Hatsugen
Đau, làm tổn thương	傷つける	kizutsukeru
Khủng hoảng, trì trệ, xuống dốc	不況	Fukyou
Xấu đi, tồi tệ hơn	悪化	Akka
Kiến trúc sư	建築家	kenchikuka
Việc phản công	反撃	Hangeki
SỰ tính toán, kế toán	計算	Keisan
Giải phóng, mở ra cho	開放	Kaihou
Vùng miền, khu vực	地域	Chiiki
Sự chẩn đoán sức khỏe, sự khám sức khỏe	健康診断	Kenkoushindan
Dễ thương, đáng yêu	可愛い	kawai
Sản phẩm nổi tiếng	名産	meisan
Ấn tượng	印象	inshou
Như thường lệ, nhìn chung	概して	Gaishite
Cơ bản, căn bản	基礎的	Kisoteki
Bệnh ung thư	癌	gan
Thao tác, điều khiển	操作	Sousa
Chuyển công tác, thay đổi công việc	転職	tenshoku
Đến gần, dựa vào	寄せる	yoseru
CUộc triển lãm, cuộc trưng bài	展示会	tenjikai
Biểu diễn, trình tấu	演奏	Ensou
Khác nhau, không giống nhau	異なる	Kotonaru
